0.198878,73.99,1.03002,0.089
1.2079,133.333,2.02719,0.133
2.25403,90.1537,3.00268,0.1
3.21911,118.612,4.11383,0.114
4.23392,104.246,5.06261,0.107
5.22602,111.433,6.03102,0.114
6.23404,104.349,7.0481,0.107
7.22597,111.381,8.19818,0.114
8.23395,104.271,9.04648,0.107
9.22591,111.328,10.0338,0.114
10.234,104.32,11.0491,0.107
11.2258,111.262,12.0077,0.114
12.234,104.294,13.029,0.107
13.2261,111.55,14.1527,0.114
14.2341,104.443,15.0109,0.107
15.226,111.456,16.0845,0.114
16.234,104.36,17.0207,0.107
17.2261,111.485,18.0061,0.114
18.2339,104.253,19.0321,0.107
