0,0
0.238141,98.5294,1.45837,0.1
1.2582,157.709,2.24445,0.16
2.32049,100,3.0001,0.107
3.26496,147.933,4.17523,0.145
4.30422,108.809,5.05335,0.107
5.26491,147.892,6.2105,0.145
6.30416,108.768,7.05947,0.107
7.26488,147.86,8.03355,0.145
8.30429,108.857,9.0818,0.107
9.26489,147.87,10.0214,0.145
10.3044,108.912,11.1031,0.107
11.2649,147.876,12.0986,0.145
12.3044,108.94,13.077,0.107
13.2649,147.894,14.0542,0.145
14.3043,108.858,15.0903,0.107
15.2649,147.898,16.3728,0.145
16.3044,108.922,17.109,0.107
17.265,147.945,18.0188,0.145
18.3043,108.838,19.0902,0.107
19.265,147.976,
