0,0
0.161031,100.671,1.00416,0.107
1.18844,76.1991,2.01057,0.089
2.17063,91.4083,3.05573,0.1
3.18084,80.3421,4.0001,0.094
4.1753,85.732,5.02204,0.094
5.17544,85.882,6.02596,0.094
6.17528,85.7133,7.02184,0.094
7.17525,85.6768,8.03207,0.094
8.17537,85.8045,9.01819,0.094
9.17568,86.1409,10.0233,0.094
10.1752,85.6413,11.0112,0.094
11.1752,85.6048,12.034,0.094
12.1756,86.0193,13.0421,0.094
13.1756,86.071,14.0041,0.094
14.1753,85.7082,15.0128,0.094
15.1756,86.0274,16.0257,0.094
16.1749,85.31,17.0159,0.094
17.1748,85.233,18.0196,0.094
18.1756,86.0497,19.0408,0.094
19.1757,86.1166,
