0,0
0.343178,123.268,1.02604,0.123
1.32062,160.099,2.10919,0.16
2.35779,123.308,3.08469,0.123
3.3207,160.167,4.11235,0.16
4.35781,123.322,5.01158,0.123
5.32066,160.133,6.20719,0.16
6.35782,123.327,7.1116,0.123
7.3206,160.084,8.02068,0.16
8.35771,123.263,9.1705,0.123
9.32066,160.139,9.1705,0.16
10.3207,160.151,11.089,0.16
11.3578,123.327,12.049,0.123
12.3207,160.14,13.0486,0.16
13.3578,123.292,14.0073,0.123
14.3207,160.141,14.0073,0.16
15.3207,160.131,16.0449,0.16
16.3578,123.33,17.0853,0.123
17.3207,160.159,18.1406,0.16
18.3577,123.281,19.1963,0.123
19.3207,160.139,
