0.238141,197.059,1.45837,0.16
1.31985,99.5975,2.12847,0.1
2.25821,157.719,3.31503,0.16
3.32049,100,4.00011,0.107
4.26492,147.9,5.15571,0.145
5.30419,108.794,6.05358,0.107
6.26488,147.859,7.07996,0.145
7.30411,108.739,8.00374,0.107
8.26489,147.87,9.03226,0.145
9.30425,108.83,10.0045,0.107
10.2649,147.87,11.2857,0.145
11.3042,108.807,12.0092,0.107
12.265,148.018,13.0984,0.145
13.3044,108.91,14.12,0.107
14.2649,147.921,15.1866,0.145
15.3043,108.868,16.0484,0.107
16.2649,147.902,17.1302,0.145
17.3043,108.853,18.0476,0.107
18.265,147.929,19.0286,0.145
